x, y
autogen1:Match123, ""2018-03-17T00:00:00"^^xsd:dateTime"
autogen1:Match19, ""2018-05-04T00:00:00"^^xsd:dateTime"
autogen1:Match36, ""2018-05-04T00:00:00"^^xsd:dateTime"
autogen1:Match82, ""2018-05-04T00:00:00"^^xsd:dateTime"
autogen1:Match13, ""2018-06-01T00:00:00"^^xsd:dateTime"
autogen1:Match35, ""2018-06-01T00:00:00"^^xsd:dateTime"
autogen1:Match9, ""2018-06-01T00:00:00"^^xsd:dateTime"
autogen1:Match775, ""2018-06-02T00:00:00"^^xsd:dateTime"
autogen1:Match776, ""2018-06-02T00:00:00"^^xsd:dateTime"
autogen1:Match804, ""2018-06-02T00:00:00"^^xsd:dateTime"
autogen1:Match823, ""2018-06-02T00:00:00"^^xsd:dateTime"
autogen1:Match844, ""2018-06-02T00:00:00"^^xsd:dateTime"
autogen1:Match845, ""2018-06-02T00:00:00"^^xsd:dateTime"
autogen1:Match859, ""2018-06-02T00:00:00"^^xsd:dateTime"
autogen1:Match394, ""2018-06-09T00:00:00"^^xsd:dateTime"
autogen1:Match415, ""2018-06-09T00:00:00"^^xsd:dateTime"
autogen1:Match418, ""2018-06-09T00:00:00"^^xsd:dateTime"
autogen1:Match575, ""2018-06-09T00:00:00"^^xsd:dateTime"
autogen1:Match588, ""2018-06-09T00:00:00"^^xsd:dateTime"
autogen1:Match593, ""2018-06-09T00:00:00"^^xsd:dateTime"
autogen1:Match724, ""2018-06-09T00:00:00"^^xsd:dateTime"
autogen1:Match889, ""2018-06-09T00:00:00"^^xsd:dateTime"
autogen1:Match899, ""2018-06-09T00:00:00"^^xsd:dateTime"
autogen1:Match970, ""2018-06-09T00:00:00"^^xsd:dateTime"
autogen1:Match984, ""2018-06-09T00:00:00"^^xsd:dateTime"
autogen1:Match108, ""2018-06-22T00:00:00"^^xsd:dateTime"
autogen1:Match88, ""2018-06-22T00:00:00"^^xsd:dateTime"
autogen1:Match94, ""2018-06-22T00:00:00"^^xsd:dateTime"
autogen1:Match18, ""2018-06-29T00:00:00"^^xsd:dateTime"
autogen1:Match27, ""2018-06-29T00:00:00"^^xsd:dateTime"
autogen1:Match389, ""2018-06-29T00:00:00"^^xsd:dateTime"
autogen1:Match396, ""2018-06-29T00:00:00"^^xsd:dateTime"
autogen1:Match532, ""2018-06-29T00:00:00"^^xsd:dateTime"
autogen1:Match68, ""2018-06-29T00:00:00"^^xsd:dateTime"
autogen1:Match779, ""2018-07-14T00:00:00"^^xsd:dateTime"
autogen1:Match791, ""2018-07-14T00:00:00"^^xsd:dateTime"
autogen1:Match805, ""2018-07-14T00:00:00"^^xsd:dateTime"
autogen1:Match816, ""2018-07-14T00:00:00"^^xsd:dateTime"
autogen1:Match829, ""2018-07-14T00:00:00"^^xsd:dateTime"
autogen1:Match850, ""2018-07-14T00:00:00"^^xsd:dateTime"
autogen1:Match856, ""2018-07-14T00:00:00"^^xsd:dateTime"
autogen1:Match783, ""2018-07-27T00:00:00"^^xsd:dateTime"
autogen1:Match788, ""2018-07-27T00:00:00"^^xsd:dateTime"
autogen1:Match795, ""2018-07-27T00:00:00"^^xsd:dateTime"
autogen1:Match796, ""2018-07-27T00:00:00"^^xsd:dateTime"
autogen1:Match798, ""2018-07-27T00:00:00"^^xsd:dateTime"
autogen1:Match801, ""2018-07-27T00:00:00"^^xsd:dateTime"
autogen1:Match808, ""2018-07-27T00:00:00"^^xsd:dateTime"
autogen1:Match819, ""2018-07-27T00:00:00"^^xsd:dateTime"
autogen1:Match831, ""2018-07-27T00:00:00"^^xsd:dateTime"
autogen1:Match834, ""2018-07-27T00:00:00"^^xsd:dateTime"
autogen1:Match842, ""2018-07-27T00:00:00"^^xsd:dateTime"
autogen1:Match848, ""2018-07-27T00:00:00"^^xsd:dateTime"
autogen1:Match849, ""2018-07-27T00:00:00"^^xsd:dateTime"
autogen1:Match854, ""2018-07-27T00:00:00"^^xsd:dateTime"
autogen1:Match888, ""2018-07-28T00:00:00"^^xsd:dateTime"
autogen1:Match893, ""2018-07-28T00:00:00"^^xsd:dateTime"
autogen1:Match943, ""2018-07-28T00:00:00"^^xsd:dateTime"
autogen1:Match968, ""2018-07-28T00:00:00"^^xsd:dateTime"
autogen1:Match996, ""2018-07-28T00:00:00"^^xsd:dateTime"
autogen1:Match213, ""2018-08-11T00:00:00"^^xsd:dateTime"
autogen1:Match269, ""2018-08-11T00:00:00"^^xsd:dateTime"
